riesgo_inicial,duracion_dias,cuantia,n_intervinientes,delito_tipo
84.96714153011233,493.0867849414408,56476.88538100693,6.523029856408026,Homicidio
77.65846625276664,488.293152152541,65792.12815507391,5.7674347291529084,Homicidio
75.30525614065049,527.1280021792983,45365.82307187538,4.5342702464297435,Homicidio
82.41962271566034,404.3359877671101,32750.821674869672,4.437712470759028,Homicidio
69.87168879665576,515.7123666297637,40919.75924478789,3.5876962986647083,Homicidio
94.65648768921554,488.71118497567323,50675.28204687924,3.575251813786543,Homicidio
74.55617275474818,505.5461294854933,38490.06422577697,5.3756980183456715,Homicidio
73.99361310081196,485.41531251033615,43982.93387770603,6.852278184508938,Homicidio
79.86502775262066,447.11445355220496,58225.44912103189,3.7791563500289778,Homicidio
82.08863595004756,402.0164938060112,36718.139511015695,5.1968612358691235,Homicidio
87.3846657999541,508.56841405949854,48843.517176117595,4.698896304410711,Homicidio
65.21478009632573,464.00778958026456,45393.612290402125,6.057122226218915,Homicidio
83.43618289568461,411.8479922318633,53240.83969394795,4.6149177195836835,Homicidio
73.23077999694041,530.5838144420434,60309.99522495951,5.931280119116199,Homicidio
71.60782476777362,484.53938120743925,53312.63431403564,5.975545127122359,Homicidio
75.2082576215471,490.71705116680914,38936.65025993972,3.803793375919329,Homicidio
88.12525822394198,567.8120014285412,49279.89878419666,6.003532897892024,Homicidio
83.61636025047635,467.7440122697438,53613.95605508414,6.538036566465969,Homicidio
79.64173960890048,578.2321827907003,23802.548959102558,5.821902504375224,Homicidio
80.87047068238171,485.0496324767066,50917.607765355024,3.012431085399107,Homicidio
77.80328112162488,517.8556285755873,64778.94044741516,4.481729781726353,Homicidio
71.91506397106812,474.91214782077316,59154.02117702074,5.3287511096596845,Homicidio
74.70239796232961,525.6633716556678,50970.7754934804,5.968644990532889,Homicidio
72.97946906122648,483.6168926701116,46078.91846867842,3.5364850518678814,Homicidio
82.96120277064576,513.0527636089945,50051.13456642461,4.765412866624853,Homicidio
65.84629257949585,478.96773386173203,46572.85483473231,4.197722730778381,Homicidio
78.3871428833399,520.2025428407269,68861.8590121053,5.174577812831839,Homicidio
82.57550390722764,496.2777042116916,30812.287847009586,4.973486124550783,Homicidio
80.60230209941027,623.1621056242643,48076.39035218878,5.301547342333612,Homicidio
79.65288230294756,441.5660981190234,61428.228145150206,5.751933032686774,Homicidio
